1,string,string,string,2147483647,1
2,Rebecca,Conejo,understand,16,4947
3,James,Perro,scientist,3,2432
4,Nicole,Perro,nation,5,5309
5,Michael,Gato,how,2,1926
6,Andrew,Iguana,indeed,19,1831
7,Rachel,Loro,stay,3,2629
8,Christine,Conejo,young,17,4993
9,Jacob,Loro,somebody,17,2475
10,Ashley,Perro,significant,20,3817
11,David,Gato,player,15,1817
12,Cynthia,Iguana,agreement,11,4200
13,Colleen,Loro,television,11,3024
14,Benjamin,Perro,or,12,870
15,Christopher,Perro,cell,10,4690
16,Cassandra,Loro,attention,6,4086
17,Jennifer,Iguana,dinner,3,4575
18,Cathy,Perro,collection,14,4656
19,Donald,Loro,fight,8,4536
20,Leroy,Iguana,line,6,449
21,Jacqueline,Conejo,citizen,14,3976
22,Audrey,Conejo,research,1,564
23,Christopher,Iguana,indeed,6,4964
24,Justin,Loro,boy,11,4991
25,David,Loro,bag,1,1759
26,Amy,Conejo,statement,14,561
27,Eric,Gato,international,20,402
28,Kathryn,Loro,idea,4,4389
29,Zachary,Iguana,lawyer,4,716
30,Stephanie,Perro,list,8,4783
31,Teresa,Conejo,left,11,2262
32,Amy,Loro,goal,1,1496
33,John,Gato,former,11,4349
34,Donald,Gato,season,7,4250
35,Robert,Iguana,physical,1,1664
36,Mary,Perro,there,19,4403
37,David,Iguana,room,13,3192
38,Elizabeth,Perro,former,14,3609
39,Michael,Iguana,pattern,14,2710
40,Robert,Loro,by,14,499
41,Chad,Loro,board,12,527
42,Amy,Conejo,that,2,3305
43,Melissa,Gato,action,4,844
44,Jennifer,Perro,run,11,881
45,Bryce,Conejo,can,20,457
46,Amanda,Loro,actually,1,1113
47,Chad,Conejo,plan,3,1890
48,Nancy,Iguana,food,2,3908
49,Jon,Perro,many,16,4125
50,Michelle,Conejo,mission,20,1233
51,Lee,Loro,everything,9,3484
52,Matthew,Conejo,material,3,3522
53,Melissa,Iguana,certainly,18,1381
54,Johnny,Perro,still,9,4603
55,Bryan,Gato,cold,15,4047
56,Thomas,Loro,level,13,4931
57,Charles,Loro,letter,2,852
58,Jeanette,Gato,thing,15,1007
59,Brian,Perro,space,14,412
60,Beverly,Loro,provide,3,2074
61,Michael,Loro,especially,4,3198
62,Ebony,Iguana,skill,13,3057
63,Richard,Conejo,sort,5,3258
64,Shannon,Loro,big,1,2187
65,Anthony,Loro,indeed,10,5303
66,Richard,Conejo,use,5,1778
67,Michele,Loro,piece,11,5142
68,Susan,Conejo,very,16,3519
69,Lori,Loro,age,4,3084
70,Beth,Loro,black,9,3911
71,Marcus,Perro,public,20,3023
72,Jon,Conejo,against,10,420
73,Anita,Conejo,prove,5,1358
74,Patricia,Loro,able,8,2902
75,Katelyn,Loro,billion,9,1082
76,Martin,Conejo,fact,2,654
77,Jeremy,Conejo,letter,2,2910
78,Mary,Perro,home,12,4353
79,Alyssa,Iguana,collection,13,3649
80,Michael,Conejo,social,11,3148
81,Charles,Conejo,debate,13,1781
82,Joanna,Loro,now,11,3765
83,Amanda,Loro,body,7,683
84,Susan,Gato,rise,2,2275
85,Tiffany,Perro,produce,18,2130
86,Richard,Iguana,as,1,1345
87,James,Perro,if,14,3968
88,Stephanie,Perro,finish,8,5005
89,Patricia,Loro,even,19,4793
90,Joseph,Gato,wrong,15,1556
91,Michelle,Conejo,whole,9,534
