id,fecha,motivo,mascotaId,tratamientos
1,2025-05-08T12:00:00.000Z,Chequeo general,1,[]
2,2025-05-04T12:00:00.000Z,Chequeo general,2,"[{'id': 1475, 'nombre': 'Best', 'descripcion': 'Pass why attack phone.'}, {'id': 1476, 'nombre': 'Important', 'descripcion': 'Both popular just read model certain.'}]"
3,2024-04-16T23:10:52.000Z,Add family join policy former second walk minute sea.,3835,"[{'id': 5159, 'nombre': 'Before', 'descripcion': 'Life owner your ready attack responsibility.'}, {'id': 5160, 'nombre': 'Performance', 'descripcion': 'Then along address practice.'}, {'id': 5163, 'nombre': 'Guess', 'descripcion': 'Your conference final way try.'}]"
4,2024-03-31T22:41:33.000Z,If push significant number also myself.,9196,"[{'id': 5161, 'nombre': 'Congress', 'descripcion': 'Else look account clear money may interesting.'}, {'id': 5162, 'nombre': 'Agreement', 'descripcion': 'Big tend manager.'}]"
5,2024-07-01T08:28:39.000Z,Other budget long man yeah.,2232,"[{'id': 5157, 'nombre': 'Billion', 'descripcion': 'Easy far sometimes summer common.'}, {'id': 5165, 'nombre': 'If', 'descripcion': 'Trouble who story ask like bed bad.'}]"
6,2023-05-22T00:09:29.000Z,Teach usually know lead method.,525,"[{'id': 5162, 'nombre': 'Agreement', 'descripcion': 'Big tend manager.'}]"
7,2024-03-28T23:22:28.000Z,Film list they occur beat.,873,"[{'id': 5157, 'nombre': 'Billion', 'descripcion': 'Easy far sometimes summer common.'}, {'id': 5161, 'nombre': 'Congress', 'descripcion': 'Else look account clear money may interesting.'}, {'id': 5163, 'nombre': 'Guess', 'descripcion': 'Your conference final way try.'}]"
8,2023-11-19T22:04:57.000Z,Color physical high together theory which.,5092,"[{'id': 5161, 'nombre': 'Congress', 'descripcion': 'Else look account clear money may interesting.'}, {'id': 5162, 'nombre': 'Agreement', 'descripcion': 'Big tend manager.'}]"
9,2024-10-22T01:22:00.000Z,Human nature save discuss build.,9610,"[{'id': 5156, 'nombre': 'Weight', 'descripcion': 'Character program stock shake especially measure the drug.'}, {'id': 5157, 'nombre': 'Billion', 'descripcion': 'Easy far sometimes summer common.'}, {'id': 5161, 'nombre': 'Congress', 'descripcion': 'Else look account clear money may interesting.'}]"
10,2024-06-17T04:24:17.000Z,Name art describe hold see outside open manager try.,10251,"[{'id': 5157, 'nombre': 'Billion', 'descripcion': 'Easy far sometimes summer common.'}, {'id': 5160, 'nombre': 'Performance', 'descripcion': 'Then along address practice.'}]"
